pid,instance_of_qid
4947,11424
4947,24856
4947,24862
4947,24865
4947,24869
4947,84041
4947,93204
4947,130232
4947,142554
4947,157394
4947,157443
4947,169672
4947,172067
4947,172980
4947,185529
4947,188473
4947,193977
4947,200092
4947,202866
4947,212781
4947,216749
4947,219557
4947,220898
4947,222639
4947,223770
4947,226730
4947,229390
4947,240862
4947,245056
4947,248583
4947,268854
4947,275934
4947,319221
4947,332564
4947,332936
4947,336144
4947,369747
4947,370630
4947,423504
4947,430525
4947,455315
4947,455620
4947,457832
4947,459290
4947,459435
4947,471839
4947,472637
4947,491158
4947,492951
4947,496523
4947,505119
4947,506240
4947,517386
4947,535518
4947,542475
4947,547760
4947,548206
4947,576131
4947,580013
4947,583768
4947,586250
4947,596138
4947,599558
4947,622310
4947,622548
4947,624771
4947,628165
4947,643684
4947,645928
4947,652256
4947,653916
4947,663106
4947,668312
4947,677466
4947,731194
4947,735478
4947,790192
4947,798555
4947,819652
4947,842256
4947,844580
4947,845159
4947,846544
4947,846685
4947,848512
4947,849666
4947,853630
4947,854995
4947,860626
4947,882006
4947,883179
4947,895583
4947,909586
4947,914242
4947,917641
4947,931552
4947,959790
4947,964061
4947,972687
4947,987831
4947,1030329
4947,1033891
4947,1039968
4947,1046788
4947,1047299
4947,1054574
4947,1060398
4947,1065444
4947,1067324
4947,1092361
4947,1092621
4947,1108032
4947,1114505
4947,1115187
4947,1117103
4947,1135802
4947,1146335
4947,1147986
4947,1172910
4947,1194365
4947,1200678
4947,1234018
4947,1251417
4947,1257444
4947,1261214
4947,1268687
4947,1271310
4947,1278107
4947,1320115
4947,1323308
4947,1324620
4947,1339864
4947,1341051
4947,1342372
4947,1352102
4947,1361932
4947,1371394
4947,1377546
4947,1390819
4947,1397462
4947,1412580
4947,1433443
4947,1464369
4947,1468908
4947,1474387
4947,1480924
4947,1502766
4947,1504407
4947,1535153
4947,1550219
4947,1615638
4947,1662452
4947,1696148
4947,1723850
4947,1740789
4947,1747837
4947,1760864
4947,1776156
4947,1788980
4947,1800833
4947,1813543
4947,1869909
4947,1899749
4947,1919632
4947,1933746
4947,1935609
4947,1941707
4947,1957385
4947,1994410
4947,2006167
4947,2023874
4947,2084909
4947,2096046
4947,2096633
4947,2101714
4947,2125170
4947,2137852
4947,2143665
4947,2145099
4947,2156835
4947,2165644
4947,2190265
4947,2254193
4947,2273331
4947,2281511
4947,2292320
4947,2297927
4947,2301591
4947,2331945
4947,2445146
4947,2484376
4947,2518205
4947,2523020
4947,2584671
4947,2600159
4947,2642760
4947,2670855
4947,2678111
4947,2757149
4947,2843083
4947,2903140
4947,2916932
4947,2967308
4947,2973154
4947,2973181
4947,2973217
4947,2991560
4947,2991565
4947,2997932
4947,3028680
4947,3059309
4947,3066315
4947,3072024
4947,3072031
4947,3072039
4947,3072042
4947,3072043
4947,3072049
4947,3076696
4947,3249257
4947,3294961
4947,3327002
4947,3335536
4947,3338945
4947,3352071
4947,3355734
4947,3377903
4947,3396019
4947,3442060
4947,3454252
4947,3461143
4947,3482453
4947,3490039
4947,3566966
4947,3585697
4947,3634883
4947,3640833
4947,3648909
4947,3660915
4947,3677141
4947,3677202
4947,3677203
4947,3677205
4947,3684597
4947,3745400
4947,3745429
4947,3745430
4947,3778115
4947,3786423
4947,3799185
4947,3963888
4947,4044177
4947,4047254
4947,4075563
4947,4179869
4947,4220915
4947,4373044
4947,4453959
4947,4484381
4947,4674071
4947,4677832
4947,4765076
4947,4797626
4947,4836991
4947,4839755
4947,4840473
4947,4870196
4947,4875794
4947,4925568
4947,4950139
4947,4984974
4947,5005883
4947,5032666
4947,5070847
4947,5104880
4947,5114239
4947,5145881
4947,5151497
4947,5156753
4947,5258881
4947,5338721
4947,5400070
4947,5413472
4947,5442753
4947,5449041
4947,5500893
4947,5551875
4947,5578091
4947,5620056
4947,5768328
4947,5769572
4947,5769580
4947,5769583
4947,5769586
4947,5769589
4947,5769592
4947,5769663
4947,5778924
4947,5855976
4947,5872891
4947,5897543
4947,5905132
4947,5905136
4947,5905225
4947,5905668
4947,6133352
4947,6431798
4947,6432005
4947,6457531
4947,6722594
4947,6729489
4947,6804274
4947,6926334
4947,6942568
4947,7097859
4947,7116678
4947,7130449
4947,7249835
4947,7256286
4947,7257728
4947,7299951
4947,7301269
4947,7444356
4947,7466102
4947,7542092
4947,7551110
4947,7551149
4947,7551315
4947,7645884
4947,7751682
4947,7832972
4947,7841716
4947,7858343
4947,7905668
4947,8030668
4947,8049065
4947,8066387
4947,8192124
4947,9259710
4947,9259727
4947,10280356
4947,10282327
4947,10475300
4947,10590726
4947,10631817
4947,10654943
4947,10674355
4947,10805364
4947,11116488
4947,11298147
4947,11349807
4947,11356864
4947,11448155
4947,11452875
4947,11570976
4947,11859599
4947,11863136
4947,11894225
4947,11900986
4947,11997526
4947,12049743
4947,12076696
4947,12410174
4947,12594828
4947,12912091
4947,13377551
4947,13593818
4947,14875859
4947,15055012
4947,15804095
4947,15859327
4947,15898171
4947,16034224
4947,16154337
4947,16247268
4947,16249176
4947,16254232
4947,16538713
4947,16721823
4947,16824564
4947,16909344
4947,16927904
4947,16984663
4947,17013749
4947,17093751
4947,17112331
4947,17123180
4947,17175676
4947,17517379
4947,18011171
4947,18011172
4947,18089587
4947,18089617
4947,18156020
4947,18331260
4947,18355406
4947,18398246
4947,18430382
4947,18648407
4947,18655723
4947,18956797
4947,19367312
4947,19952560
4947,20089094
4947,20089346
4947,20135338
4947,20183934
4947,20202970
4947,20442589
4947,20443008
4947,20647642
4947,20649407
4947,20650540
4947,20656232
4947,20656352
4947,20667187
4947,20732395
4947,20871935
4947,20965835
4947,21001900
4947,21028464
4947,21997246
4947,22908155
4947,22981906
4947,23044991
4947,24887738
4947,24905792
4947,24960157
4947,25110269
4947,25212003
4947,25230421
4947,25393456
4947,25533274
4947,26196748
4947,26225677
4947,26225765
4947,26268098
4947,27959357
4947,28026639
4947,28735856
4947,28968258
4947,28968511
4947,29017630
4947,29168811
4947,29226975
4947,29982285
4947,30897819
4947,30900100
4947,31086090
4947,31836066
4947,31884194
4947,31897275
4947,31898054
4947,33111614
4947,33130924
4947,33373157
4947,38608778
4947,43096126
4947,43911809
4947,45107780
4947,47009776
4947,47486001
4947,48781895
4947,48816645
4947,52162262
4947,52207310
4947,52207399
4947,54344007
4947,55164242
4947,55622687
4947,55960075
4947,56240556
4947,56304998
4947,56884562
4947,59688552
4947,60753838
4947,60791959
4947,60848413
4947,60965006
4947,61283808
4947,62015757
4947,63208582
4947,63214877
4947,63302132
4947,63860397
4947,64100970
4947,64705787
4947,64777087
4947,65194659
4947,66425231
4947,66503284
4947,66914288
4947,66948581
4947,67414381
4947,67655225
4947,68974025
4947,69084760
4947,73403617
4947,73504838
4947,77906388
4947,78331840
4947,78461348
4947,78528852
4947,78633168
4947,78633775
4947,79637782
4947,79638554
4947,79639691
4947,79640397
4947,81635374
4947,81718895
4947,81719416
4947,81746082
4947,83424438
4947,84322930
4947,84322932
4947,85632254
4947,87000729
4947,88400940
4947,89928742
4947,91106056
4947,93376240
4947,95440291
4947,95952108
4947,96405489
4947,97016664
4947,97191621
4947,97556069
4947,98406740
4947,98701476
4947,98802676
4947,98807719
4947,99526021
4947,99526024
4947,99526025
4947,101071244
4947,101973724
4947,102133820
4947,102141681
4947,102222054
4947,102260466
4947,102429885
4947,102706436
4947,103109864
4947,103888910
4947,103925569
4947,104097073
4947,104176285
4947,104536771
4947,104536870
4947,104536896
4947,104536994
4947,104537013
4947,104559206
4947,104623069
4947,104765957
4947,104771028
4947,104775758
4947,104840802
4947,104851179
4947,104880835
4947,104902646
4947,105101851
4947,105320349
4947,105606055
4947,105756287
4947,105813043
4947,105967840
4947,106117184
4947,106728041
4947,106772852
4947,106841600
4947,107210977
4947,107210978
4947,107418888
4947,107458055
4947,108084492
4947,108202384
4947,108202392
4947,108202399
4947,108212954
4947,108258724
4947,108387267
4947,108466999
4947,108921056
4947,109108478
4947,109122021
4947,109323491
4947,109358431
4947,109622609
4947,109626272
4947,109628205
4947,109628222
4947,109629396
4947,109653382
4947,109653402
4947,109653422
4947,109653432
4947,109653474
4947,109733294
4947,109733304
4947,109733318
4947,109733333
4947,109733358
4947,109733630
4947,109733685
4947,109733760
4947,109911570
4947,110269801
4947,110269805
4947,110397019
4947,110593123
4947,110854783
4947,110876331
4947,110940888
4947,111147075
4947,111241092
4947,111278985
4947,111279477
4947,111280422
4947,111306560
4947,111464443
4947,111590800
4947,111745923
4947,111953147
4947,111975528
4947,111975808
4947,112110143
4947,112149470
4947,112318664
4947,112633637
4947,112763972
4947,112841248
4947,112886212
4947,112913148
4947,113485322
4947,113671041
4947,113686924
4947,113687694
4947,113791292
4947,113930130
4947,113988651
4947,114051112
4947,114075477
4947,114079176
4947,114413232
4947,114674737
4947,114729802
4947,115122793
4947,115864463
4947,115945952
4947,116033461
4947,116212252
4947,116255614
4947,116270065
4947,116375520
4947,116378096
4947,116394292
4947,116443876
4947,116456802
4947,116456830
4947,116478741
4947,116495722
4947,116495775
4947,116497340
4947,116512806
4947,116513497
4947,116514801
4947,116680132
4947,116680333
4947,116680334
4947,116680383
4947,116744398
4947,116753708
4947,116763393
4947,116771444
4947,116771780
4947,116771781
4947,116771790
4947,116771830
4947,116777134
4947,116777250
4947,116778237
4947,116778904
4947,116784134
4947,116784146
4947,116784175
4947,116790751
4947,116795611
4947,117061608
4947,117209498
4983,15416
4983,23739
4983,23745
4983,29197
4983,170238
4983,178840
4983,182415
4983,207601
4983,220898
4983,222639
4983,240862
4983,244351
4983,288608
4983,303064
4983,336059
4983,336181
4983,338632
4983,358942
4983,377477
4983,390220
4983,399811
4983,431102
4983,482612
4983,502319
4983,506240
4983,526877
4983,542475
4983,581714
4983,622812
4983,653916
4983,661436
4983,662197
4983,664529
4983,745818
4983,775344
4983,846662
4983,854995
4983,874342
4983,881912
4983,899203
4983,914242
4983,918098
4983,986699
4983,987831
4983,1011299
4983,1047299
4983,1138628
4983,1172910
4983,1187667
4983,1190246
4983,1241826
4983,1257934
4983,1259376
4983,1259759
4983,1261214
4983,1273568
4983,1278356
4983,1352815
4983,1358344
4983,1366112
4983,1407207
4983,1407240
4983,1407245
4983,1452460
4983,1457145
4983,1461497
4983,1464125
4983,1472288
4983,1484397
4983,1555508
4983,1619206
4983,1658957
4983,1676730
4983,1691143
4983,1711400
4983,1742009
4983,1747837
4983,1760864
4983,1774527
4983,1786567
4983,1799894
4983,1802588
4983,1819008
4983,1857766
4983,1875605
4983,1924371
4983,1948292
4983,1982463
4983,1983062
4983,2049337
4983,2074644
4983,2081003
4983,2123557
4983,2125867
4983,2155186
4983,2155304
4983,2178268
4983,2231383
4983,2290276
4983,2304946
4983,2333839
4983,2346564
4983,2388283
4983,2435927
4983,2456999
4983,2605607
4983,2621422
4983,2635894
4983,2645569
4983,2670855
4983,2687765
4983,2794180
4983,2824103
4983,2834941
4983,2872241
4983,2983424
4983,3071014
4983,3080071
4983,3237931
4983,3246768
4983,3252662
4983,3276244
4983,3421644
4983,3443665
4983,3446221
4983,3461321
4983,3464665
4983,3511312
4983,3546572
4983,3588923
4983,3744532
4983,3745430
4983,3799185
4983,3951815
4983,3956369
4983,4382232
4983,4388316
4983,4453959
4983,4506063
4983,4765080
4983,4783297
4983,4798414
4983,4922471
4983,4936468
4983,4949058
4983,5163109
4983,5167153
4983,5177022
4983,5219865
4983,5227671
4983,5243464
4983,5243465
4983,5270557
4983,5287435
4983,5338721
4983,5398426
4983,5401282
4983,5428822
4983,5434357
4983,5455086
4983,5465514
4983,5778915
4983,5812300
4983,5905668
4983,6022825
4983,6041792
4983,6057169
4983,6133352
4983,6495169
4983,6495397
4983,6626746
4983,6645282
4983,6863157
4983,6912943
4983,7050677
4983,7135554
4983,7135559
4983,7185299
4983,7248875
4983,7249835
4983,7437708
4983,7601050
4983,7603925
4983,7649715
4983,7696995
4983,7697093
4983,7724161
4983,7864671
4983,7892363
4983,7905668
4983,7923105
4983,7988576
4983,9335576
4983,9335577
4983,10419625
4983,10439361
4983,10594993
4983,10676514
4983,10685952
4983,10709386
4983,10745789
4983,11079003
4983,11086742
4983,11235226
4983,11281236
4983,11293915
4983,11323152
4983,11325507
4983,11334197
4983,11335932
4983,11351206
4983,11378697
4983,11396323
4983,11423603
4983,11464636
4983,11483878
4983,11491683
4983,11492055
4983,11492855
4983,11504513
4983,11517223
4983,11578774
4983,11650048
4983,11664270
4983,11935070
4983,12049949
4983,12242979
4983,12311300
4983,12485565
4983,13359539
4983,14346334
4983,14509702
4983,14623351
4983,14942329
4983,15836186
4983,15852671
4983,15903379
4983,15977715
4983,16068806
4983,16206641
4983,16247289
4983,16614795
4983,16889492
4983,16913666
4983,16988763
4983,17058481
4983,17113138
4983,17145545
4983,17355003
4983,18311760
4983,18385907
4983,18458820
4983,18640746
4983,19508432
4983,19772367
4983,19776345
4983,19845560
4983,19952572
4983,19969268
4983,19973797
4983,20089346
4983,20092645
4983,20097097
4983,20183934
4983,20220309
4983,20267837
4983,20652466
4983,21028464
4983,21044675
4983,21188110
4983,21190411
4983,21191019
4983,21191068
4983,21191265
4983,21191270
4983,21217315
4983,21232614
4983,21233490
4983,21402249
4983,21504449
4983,21629439
4983,21664088
4983,23199326
4983,24633474
4983,24634210
4983,24886171
4983,24906243
4983,25090976
4983,25360500
4983,26225677
4983,26225765
4983,26260507
4983,26644852
4983,27855821
4983,27868077
4983,27876130
4983,27912070
4983,28135032
4983,28136925
4983,28195059
4983,28225717
4983,28404878
4983,28664032
4983,28971994
4983,29555881
4983,31892745
4983,34487266
4983,34682961
4983,43178228
4983,46706005
4983,47214765
4983,50062923
4983,50914552
4983,51719975
4983,53746253
4983,54328426
4983,54932319
4983,55082620
4983,55422400
4983,56240541
4983,56320653
4983,56878968
4983,57608327
4983,60215679
4983,60215966
4983,60393504
4983,60776281
4983,60967250
4983,61130948
4983,61220733
4983,61704031
4983,61855877
4983,61953751
4983,62389259
4983,62573441
4983,62903328
4983,63143903
4983,63481999
4983,63483382
4983,63585458
4983,63952888
4983,64152667
4983,64224679
4983,64224805
4983,65028757
4983,65128215
4983,65212398
4983,66503284
4983,67175872
4983,67414381
4983,72607030
4983,73505270
4983,74161894
4983,74303978
4983,76160317
4983,77253697
4983,78633168
4983,78633775
4983,79637782
4983,79638554
4983,79639691
4983,79640397
4983,79766755
4983,79768983
4983,79769107
4983,79769844
4983,79770458
4983,79770638
4983,79848748
4983,79848760
4983,81718895
4983,81719416
4983,85133165
4983,85757603
4983,86833385
4983,89273633
4983,90181054
4983,92248322
4983,93431056
4983,93992677
4983,96678733
4983,96756422
4983,97052294
4983,97054320
4983,97240742
4983,97361908
4983,97496299
4983,98526239
4983,98526245
4983,98701476
4983,98802676
4983,98807719
4983,99079902
4983,99296898
4983,99524531
4983,99526021
4983,99526024
4983,100266699
4983,100269041
4983,100707163
4983,101071244
4983,101494737
4983,101716172
4983,101720774
4983,101761418
4983,101761842
4983,101856615
4983,101860688
4983,101863750
4983,101893835
4983,101895799
4983,101898470
4983,102227549
4983,102245189
4983,102260507
4983,102364578
4983,102380136
4983,102430221
4983,102430381
4983,102430681
4983,103842826
4983,103925569
4983,104034099
4983,104123273
4983,104223533
4983,104438889
4983,104438898
4983,104439055
4983,104767049
4983,104775758
4983,104822202
4983,105011790
4983,105011823
4983,105012297
4983,105116684
4983,105440808
4983,105474650
4983,105580963
4983,105882178
4983,105885059
4983,105885086
4983,105885166
4983,105885182
4983,105908617
4983,105908707
4983,105971777
4983,106070543
4983,106082402
4983,106094709
4983,106094879
4983,106159499
4983,106393132
4983,106393171
4983,106405444
4983,106462625
4983,106559863
4983,106588463
4983,106588852
4983,106603795
4983,106625193
4983,106625205
4983,106625210
4983,106625222
4983,106625239
4983,106625351
4983,106625419
4983,106633624
4983,106633763
4983,106634018
4983,106639851
4983,106677578
4983,106681812
4983,106697970
4983,106697975
4983,106697982
4983,106698068
4983,106698131
4983,106698140
4983,106704934
4983,106704937
4983,106704989
4983,106707362
4983,106720947
4983,106720951
4983,106720953
4983,106720957
4983,106720960
4983,106720962
4983,106727606
4983,106727619
4983,106727696
4983,106727748
4983,106727754
4983,106727771
4983,106727832
4983,106727901
4983,106727914
4983,106727922
4983,106727935
4983,106727950
4983,106727966
4983,106727999
4983,106744755
4983,106745097
4983,106745341
4983,106746993
4983,106747030
4983,106747061
4983,106747100
4983,106747143
4983,106748356
4983,106748460
4983,106748640
4983,106749118
4983,106749214
4983,106772852
4983,106779377
4983,106779416
4983,106779606
4983,106779676
4983,106797790
4983,106845483
4983,106845592
4983,106878632
4983,106882345
4983,106882658
4983,106902380
4983,106912483
4983,106914703
4983,106914773
4983,106921023
4983,106942341
4983,106997754
4983,106997761
4983,106997767
4983,106997772
4983,106997784
4983,107040579
4983,107042005
4983,107080092
4983,107198899
4983,107404540
4983,107442166
4983,107458055
4983,107640824
4983,107737653
4983,108146417
4983,108263475
4983,108674843
4983,108823064
4983,108857012
4983,108871626
4983,108872880
4983,108881260
4983,109042540
4983,109265150
4983,109369274
4983,109501804
4983,109654109
4983,109677093
4983,109684855
4983,109736732
4983,109750820
4983,109981780
4983,110263445
4983,110288240
4983,110295041
4983,110372546
4983,110408389
4983,110436441
4983,110438165
4983,110593089
4983,110616917
4983,110720508
4983,110730867
4983,110757460
4983,110920134
4983,110940888
4983,110955215
4983,111241100
4983,111241357
4983,111660893
4983,111723127
4983,111747086
4983,111812458
4983,112128153
4983,112254601
4983,112981695
4983,113071555
4983,113480583
4983,113629797
4983,113671041
4983,113686924
4983,113687694
4983,114321689
4983,114495991
4983,114674737
4983,114766816
4983,114907029
4983,114907042
4983,115097963
4983,115537163
4983,115665502
4983,115730787
4983,115977852
4983,116048824
4983,116161011
4983,116515088
4983,116546876
4983,116681326
4983,116763393
4983,116777134
4983,116777250
4985,5
4985,144
4985,146
4985,147
4985,171
4985,263
4985,373
4985,374
4985,428
4985,467
4985,515
4985,532
4985,592
4985,653
4985,726
4985,998
4985,1065
4985,1215
4985,1483
4985,1487
4985,1845
4985,2128
4985,2148
4985,2338
4985,2357
4985,2879
4985,3010
4985,3031
4985,3721
4985,3842
4985,3914
4985,3918
4985,3957
4985,4252
4985,4508
4985,4539
4985,5084
4985,5119
4985,5414
4985,5518
4985,5570
4985,6266
4985,6465
4985,6636
4985,6649
4985,6674
4985,7075
4985,7188
4985,7254
4985,7275
4985,7278
4985,7295
4985,7303
4985,7308
4985,7323
4985,7325
4985,7329
4985,7330
4985,7334
4985,7338
4985,7512
4985,7560
4985,7565
4985,7569
4985,7874
4985,7955
4985,7957
4985,7960
4985,7962
4985,7964
4985,7967
4985,7970
4985,7974
4985,7986
4985,7989
4985,8060
4985,8311
4985,8425
4985,8432
4985,8436
4985,8441
4985,8451
4985,8473
4985,8587
4985,8869
4985,8880
4985,8953
4985,9351
4985,9542
4985,9562
4985,9566
4985,9665
4985,9667
4985,9699
4985,9826
4985,9842
4985,10832
4985,11032
4985,11204
4985,11315
4985,11371
4985,11385
4985,11631
4985,11691
4985,11707
4985,12097
4985,12196
4985,12302
4985,12548
4985,12648
4985,14132
4985,14211
4985,14212
4985,14213
4985,14214
4985,14350
4985,14420
4985,14875
4985,14928
4985,14970
4985,15105
4985,15110
4985,15218
4985,15219
4985,15247
4985,15252
4985,15254
4985,15266
4985,15272
4985,15276
4985,15284
4985,15334
4985,15863
4985,15888
4985,16406
4985,16463
4985,16573
4985,16917
4985,17205
4985,17210
4985,17297
4985,17304
4985,17504
4985,17884
4985,17946
4985,18050
4985,18127
4985,18189
4985,18204
4985,18550
4985,18554
4985,18702
4985,18957
4985,18996
4985,19097
4985,19623
4985,19643
4985,19746
4985,19812
4985,19823
4985,20052
4985,20793
4985,21074
4985,21080
4985,21082
4985,21098
4985,21102
4985,21205
4985,21206
4985,22623
4985,22633
4985,22687
4985,22715
4985,22721
4985,22722
4985,22806
4985,22865
4985,22881
4985,22932
4985,23006
4985,23693
4985,24256
4985,24279
4985,24649
4985,24746
4985,24764
4985,25154
4985,25657
4985,25691
4985,26033
4985,26102
4985,26513
4985,26718
4985,26774
4985,26791
4985,26878
4985,27002
4985,27106
4985,27443
4985,27493
4985,27686
4985,27971
4985,28089
4985,28111
4985,28332
4985,28346
4985,28564
4985,28653
4985,28654
4985,28989
4985,28997
4985,29013
4985,29022
4985,29028
4985,29040
4985,29047
4985,29058
4985,29072
4985,29075
4985,29084
4985,29099
4985,29106
4985,29114
4985,29127
4985,29149
4985,29164
4985,29171
4985,29177
4985,29188
4985,29195
4985,29200
4985,29212
4985,29258
4985,29268
4985,29273
4985,29280
4985,29285
4985,29774
4985,30022
4985,30103
4985,30612
4985,30917
4985,31415
4985,31489
4985,31532
4985,31550
4985,31728
4985,31855
4985,31859
4985,32006
4985,32512
4985,32554
4985,32766
4985,32768
4985,32884
4985,33333
4985,33506
4985,33685
4985,33829
4985,34044
4985,34069
4985,34623
4985,34651
4985,34990
4985,35032
4985,35170
4985,35323
4985,35535
4985,35565
4985,35749
4985,35798
4985,35966
4985,36747
4985,36784
4985,37014
4985,37055
4985,37469
4985,37473
4985,37489
4985,37503
4985,37508
4985,37534
4985,37537
4985,37541
4985,37568
4985,37578
4985,37595
4985,37600
4985,37604
4985,37608
4985,37612
4985,37617
4985,37619
4985,37624
4985,37629
4985,37653
4985,37673
4985,37688
4985,37690
4985,37697
4985,37699
4985,37710
4985,37726
4985,37727
4985,37750
4985,37755
4985,37766
4985,37782
4985,37789
4985,37793
4985,37815
4985,37827
4985,37830
4985,37866
4985,37888
4985,37892
4985,37904
4985,37969
4985,37986
4985,38032
4985,38055
4985,38063
4985,38076
4985,38080
4985,38090
4985,38096
4985,38121
4985,38130
4985,38132
4985,38145
4985,38149
4985,38152
4985,38168
4985,38175
4985,38192
4985,38199
4985,38229
4985,38280
4985,38287
4985,38309
4985,38322
4985,38358
4985,38383
4985,38390
4985,38399
4985,38416
4985,38418
4985,38421
4985,38459
4985,38494
4985,38496
4985,38499
4985,38509
4985,38510
4985,38515
4985,38523
4985,38533
4985,38547
4985,38559
4985,38570
4985,38608
4985,38621
4985,38629
4985,38634
4985,38650
4985,38655
4985,38666
4985,38679
4985,38686
4985,38688
4985,38698
4985,38723
4985,38726
4985,38751
4985,38774
4985,38782
4985,38787
4985,38820
4985,38826
4985,38877
4985,38884
4985,38889
4985,38904
4985,38911
4985,38914
4985,38920
4985,38923
4985,38932
4985,38945
4985,38947
4985,38950
4985,38953
4985,38984
4985,38991
4985,38999
4985,39026
4985,39035
4985,39058
4985,39063
4985,39075
4985,39093
4985,39113
4985,39120
4985,39147
4985,39192
4985,39220
4985,39229
4985,39235
4985,39253
4985,39262
4985,39266
4985,39278
4985,39283
4985,39285
4985,39330
4985,39332
4985,39334
4985,39344
4985,39367
4985,39396
4985,39398
4985,39401
4985,39435
4985,39442
4985,39453
4985,39463
4985,39491
4985,39579
4985,39605
4985,39804
4985,39825
4985,40304
4985,40357
4985,40477
4985,40552
4985,40728
4985,41487
4985,41583
4985,41679
4985,41710
4985,41726
4985,42193
4985,42406
4985,42539
4985,42549
4985,42551
4985,42555
4985,42556
4985,42559
4985,42563
4985,42566
4985,42570
4985,42583
4985,42588
4985,42645
4985,42659
4985,42667
4985,42675
4985,42688
4985,42712
4985,42720
4985,42740
4985,42959
4985,42998
4985,43060
4985,43103
4985,43173
4985,43200
4985,43229
4985,43310
4985,43412
4985,43501
4985,43702
4985,44116
4985,44202
4985,44372
4985,44422
4985,44614
4985,44854
4985,44865
4985,44949
4985,45199
4985,45263
4985,45315
4985,45364
4985,45369
4985,45433
4985,45597
4985,45614
4985,45758
4985,45775
4985,45991
4985,46118
4985,46124
4985,46158
4985,46295
4985,46952
4985,46970
4985,47050
4985,47140
4985,47217
4985,47315
4985,47423
4985,47774
4985,47805
4985,47855
4985,47913
4985,47928
4985,48204
4985,48270
4985,48349
4985,48420
4985,48537
4985,48616
4985,48942
4985,49078
4985,49085
4985,49209
4985,49297
4985,49302
4985,49312
4985,49376
4985,49377
4985,49482
4985,49640
4985,49759
4985,49773
4985,49775
4985,49776
4985,49780
4985,49833
4985,49835
4985,49896
4985,49958
4985,50337
4985,50963
4985,51393
4985,51406
4985,51415
4985,51645
4985,51647
4985,51669
4985,51677
4985,51716
4985,51724
4985,51771
4985,51785
4985,51796
4985,51977
4985,52371
4985,52377
4985,52383
4985,52498
4985,54259
4985,54552
4985,55043
4985,55116
4985,55290
4985,55293
4985,55515
4985,55520
4985,56490
4985,56962
4985,57058
4985,57318
4985,57607
4985,57624
4985,58150
4985,58155
4985,58669
4985,58843
4985,58848
4985,59057
4985,59261
4985,59281
4985,59540
4985,59545
4985,60269
4985,60645
4985,61061
4985,61372
4985,61551
4985,61878
4985,61883
4985,62049
4985,62687
4985,62832
4985,62928
